Id,Predicted
19307997,351.62198
20176193,91.15063
19485371,51.83274
13079990,71.26906
22339757,54.142273
7717071,83.734505
19416433,156.41728
28602814,202.03401
3167768,258.30307
22026277,302.1037
20982450,119.90005
16271468,80.99055
14445183,98.26798
6040356,98.36831
11484489,172.2685
29541600,138.11386
2793834,153.6719
588677,121.13788
22940375,229.76099
26126728,136.00255
8072662,206.88278
26250574,156.61676
19568889,100.67633
2048796,69.25801
24938213,108.87903
8555036,144.56757
22108302,97.58468
3625656,116.554985
11238715,75.97389
5041360,67.05374
3989564,120.0342
22662308,251.3842
17728208,137.06703
13597896,100.69336
13083638,130.05342
8760775,102.86302
25518930,155.8906
17256297,122.27543
1975069,168.56209
479285,72.526024
22050058,62.73822
21844210,262.41846
25835470,56.401413
27853108,152.6068
9486111,193.0494
23148095,67.52731
26603929,103.13036
6272181,61.674183
22674576,102.41109
20758205,206.04263
22928982,357.44852
28582815,131.70132
13406622,440.24594
24429072,300.0099
4031951,87.2822
25380861,188.80807
18946416,274.01
9028856,408.1855
29455324,208.48997
23342877,74.60608
28333465,58.45015
29335812,129.1932
15621557,72.241035
22240208,331.69666
14851292,101.02703
13649833,74.95989
6843556,212.49182
4881610,127.7112
14125183,52.207634
13374115,71.44626
12495831,217.70169
11963123,136.10205
16024539,98.906746
4351563,102.07714
27141784,111.2725
14684699,126.59309
5031569,99.03878
9046203,120.82011
16238779,359.52216
4629359,176.3189
3811186,84.411934
8703711,58.92829
26814509,542.0683
17556436,77.866806
27368543,259.89343
16456543,55.47297
190542,129.06456
18753645,156.55391
14928996,60.471558
24918804,166.6524
29569480,90.551285
4434797,130.48836
7403108,79.457695
14070967,112.28098
28624477,78.904175
7632182,128.92009
27507052,100.989426
10681555,150.90727
26224149,53.56691
15010339,67.94469
21979587,94.35144
491123,106.01808
1703303,124.76877
13276073,227.99443
10336325,125.01196
18504631,85.020065
12983221,208.09734
28893280,161.29262
10995810,83.5285
29490463,59.054047
19476873,204.24199
11693193,188.21446
3766496,153.49948
13936825,87.28471
9331413,181.3038
15144105,46.456947
25763994,52.07113
18457273,66.76742
10120414,171.85551
26770369,121.3822
26035905,81.005005
7367864,269.12204
18736642,130.07051
21190435,72.44779
3750917,102.52798
29260109,418.45474
26236287,7.387146
23744530,110.63197
22937557,52.62523
11069190,88.77541
14535422,78.99465
29615038,49.856705
28978145,88.82979
9116831,132.62656
4728136,57.64187
26337553,48.597946
20136238,85.48558
19343700,166.84294
16409970,205.75461
25740704,199.93034
27604010,258.45016
29490455,248.74075
9429015,210.11885
17575407,66.70074
17481087,183.83163
29391342,192.29428
16163768,154.37277
21139341,237.66656
301372,81.029755
18824754,90.59652
28652436,104.77486
14762427,134.8657
26338854,96.66816
23902815,59.09939
25289041,340.96872
4325244,159.31879
2695372,161.15706
715070,185.90102
21293326,139.48929
4235620,66.13923
27573123,120.8881
5562710,133.36592
6227341,71.89494
9955143,122.24323
22838613,91.92339
8736291,109.67146
22339572,46.72412
7542840,122.44896
11957593,51.54032
25413957,197.83551
8371626,89.05331
13485043,156.32658
20775042,78.02196
15468790,78.08283
7434615,159.62961
26401133,160.46477
7082866,175.73651
9883870,228.47406
13092522,75.50892
26716581,71.63023
18840683,91.168076
13996108,299.04425
26039386,129.41464
27584712,146.02031
1771989,95.1995
13431961,192.95204
14365130,131.56418
23480798,78.97948
24538997,108.80336
20333200,121.173676
16163482,296.29688
294353,74.40201
16214500,112.466
12325291,366.44107
918049,187.38322
14110144,166.27481
28670804,189.50554
20504269,107.913025
258740,110.74103
22249905,203.94034
29282847,127.754684
14153242,143.10675
6452188,125.195885
22878070,397.66876
14403485,75.974045
12990172,73.84651
12970522,175.41673
19429274,63.023617
13788900,153.7414
21026558,137.5867
15079046,78.68096
20516112,104.360664
18354821,81.48338
17791923,136.69983
25033991,294.27927
27283118,87.085045
17790276,111.89697
21217451,112.36497
4244479,180.36815
19431893,69.33117
7458297,93.26054
21838658,167.61458
19764136,181.82394
24352306,179.82108
3951363,50.77726
3758296,82.81242
8241894,85.81403
12050280,163.62482
27133188,103.15851
22153425,104.18816
4447524,176.2183
21550105,73.92262
3929669,110.76283
19787238,245.40285
12806016,164.63803
16544473,171.77025
2267692,108.93147
756892,189.76863
17450190,82.87697
83243,114.56755
17590481,286.24203
6919971,142.18951
276120,196.19664
24313537,221.21747
18361399,176.1322
8964308,114.3333
1604488,146.02756
7973484,174.23404
20569589,250.69507
24444586,44.37863
17298,162.56935
26197763,82.58706
2284454,469.3851
16634804,95.84237
2552938,181.38338
26950547,216.44856
25183760,193.84325
10175187,63.023617
19384143,165.65013
8625398,144.9335
6926686,88.56021
27338569,143.50139
26258306,92.5056
6014327,96.38548
26475819,48.996994
13115688,149.03381
3344383,288.17688
27435179,49.804977
3944737,124.116295
23644347,41.824608
21780636,114.30341
5682992,79.457695
253815,262.43472
10038776,25.63235
6809332,243.98825
15037251,170.91399
7516992,97.14941
19307798,168.16798
1132201,90.98744
4359703,225.37593
976167,145.26224
20827546,65.36788
21171726,151.10788
26735765,59.323456
15494542,150.14249
10289124,115.13981
24678015,91.57213
9089306,207.4792
21211033,95.31066
16740779,118.009605
8504231,127.418655
25949165,77.04129
3359001,108.53573
24583519,102.52708
3850493,144.44144
19530652,80.14673
19409691,122.81645
17881079,112.86006
23122670,84.78788
16867729,96.30677
11159781,56.503845
16364491,227.60246
